date,open,close,high,low,volume,amount,pct_chg,turnover
2025-08-12,6.3,6.33,6.43,6.28,335252,216325956.0,0.16,2.2
2025-08-13,6.34,6.46,6.48,6.31,462831,300456905.0,2.05,3.04
2025-08-14,6.45,6.28,6.46,6.27,376018,242887079.0,-2.79,2.47
2025-08-15,6.26,6.46,6.5,6.26,361914,236027209.0,2.87,2.38
2025-08-18,6.5,6.52,6.57,6.43,390323,257695422.0,0.93,2.56
2025-08-19,6.53,6.87,6.97,6.48,745877,511933025.0,5.37,4.9
2025-08-20,6.91,6.95,6.99,6.84,516685,362716195.0,1.16,3.39
2025-08-21,6.95,7.05,7.12,6.92,454625,323207281.0,1.44,2.98
2025-08-22,7.01,7.03,7.13,6.9,409775,290873656.0,-0.28,2.69
2025-08-25,7.04,7.06,7.14,7.01,438179,314314064.0,0.43,2.88
2025-08-26,7.06,7.08,7.21,7.02,371935,268568624.0,0.28,2.44
2025-08-27,7.05,6.9,7.1,6.87,541657,384739417.0,-2.54,3.56
2025-08-28,6.86,6.91,6.94,6.7,441804,306238661.0,0.14,2.9
2025-08-29,6.94,6.9,7.04,6.87,283149,198945077.0,-0.14,1.86
2025-09-01,6.65,6.7,6.75,6.5,657585,445664180.0,-2.9,4.32
2025-09-02,6.75,6.57,6.8,6.5,430756,288306891.0,-1.94,2.83
2025-09-03,6.6,6.49,6.62,6.48,302327,200755091.0,-1.22,1.98
2025-09-04,6.49,6.43,6.6,6.35,354982,233596073.0,-0.92,2.33
2025-09-05,6.46,6.57,6.58,6.41,299468,197679688.0,2.18,1.97
2025-09-08,6.6,6.57,6.62,6.48,292034,193929738.0,0.0,1.92
2025-09-09,6.56,6.84,6.94,6.53,725987,498427879.0,4.11,4.77
2025-09-10,6.8,6.71,6.85,6.66,416799,283926885.0,-1.9,2.74
2025-09-11,6.68,6.71,6.72,6.52,358764,240977035.0,0.0,2.36
2025-09-12,6.69,6.71,6.84,6.61,387928,264592281.0,0.0,2.55
2025-09-15,6.72,6.64,6.76,6.64,238572,161776368.0,-1.04,1.57
2025-09-16,6.68,6.74,6.79,6.52,396476,268863369.0,1.51,2.6
2025-09-17,6.74,6.65,6.74,6.63,259814,175637054.0,-1.34,1.71
2025-09-18,6.65,6.55,6.8,6.5,440153,296162109.0,-1.5,2.89
2025-09-19,6.56,6.57,6.64,6.53,200374,133912407.0,0.31,1.32
2025-09-22,6.6,6.51,6.63,6.43,233466,154046962.0,-0.91,1.53
2025-09-23,6.52,6.49,6.54,6.31,274427,178605812.0,-0.31,1.8
2025-09-24,6.47,6.58,6.6,6.46,237061,157771484.0,1.39,1.56
2025-09-25,6.6,6.64,6.71,6.55,272746,183682232.0,0.91,1.79
2025-09-26,6.65,6.73,6.82,6.65,365989,250685059.0,1.36,2.4
2025-09-29,6.81,7.02,7.02,6.73,524983,368271240.0,4.31,3.45
2025-09-30,7.03,7.06,7.12,6.94,346653,247641545.0,0.57,2.28
2025-10-09,7.24,7.78,7.78,7.24,649617,503353746.0,10.2,4.26
2025-10-10,8.05,8.16,8.4,7.95,1577427,1306643928.0,4.88,10.36
2025-10-13,7.85,8.28,8.35,7.84,955830,787464481.0,1.47,6.28
2025-10-14,8.47,8.25,8.61,8.11,814398,685752197.0,-0.36,5.35
2025-10-15,8.23,8.39,8.5,8.12,653554,547460268.0,1.7,4.29
2025-10-16,8.01,7.92,8.22,7.78,996417,808500897.0,-5.6,6.54
2025-10-17,7.97,7.55,8.01,7.48,821731,643031189.0,-4.67,5.39
2025-10-20,7.63,7.45,7.65,7.37,511951,388402152.0,-1.32,3.36
2025-10-21,7.49,7.54,7.61,7.45,297012,227253660.0,1.21,1.95
2025-10-22,7.45,7.38,7.47,7.35,316909,237755497.0,-2.12,2.08
2025-10-23,7.35,7.4,7.42,7.27,261547,194376667.0,0.27,1.72
2025-10-24,7.48,7.3,7.48,7.25,324547,241002086.0,-1.35,2.13
2025-10-27,7.35,7.56,7.67,7.34,484698,371347228.0,3.56,3.18
2025-10-28,7.52,7.47,7.62,7.45,397704,303039207.0,-1.19,2.61
2025-10-29,7.45,7.57,7.6,7.39,313843,239004244.0,1.34,2.06
2025-10-30,7.57,7.48,7.59,7.45,296528,225416626.0,-1.19,1.95
2025-10-31,7.5,7.44,7.57,7.39,311660,236192313.0,-0.53,2.05
2025-11-03,7.45,7.32,7.49,7.21,365593,270490948.0,-1.61,2.4
2025-11-04,7.3,7.24,7.36,7.19,261435,192623710.0,-1.09,1.72
2025-11-05,7.19,7.24,7.29,7.16,230618,169113778.0,0.0,1.51
2025-11-06,7.25,7.32,7.35,7.25,227072,168332920.0,1.1,1.49
2025-11-07,7.3,7.35,7.42,7.24,256451,190582494.0,0.41,1.68
2025-11-10,7.35,7.28,7.39,7.25,227271,168205546.0,-0.95,1.49
2025-11-11,7.3,7.39,7.49,7.29,285460,213492385.0,1.51,1.87
2025-11-12,7.42,7.35,7.43,7.23,310522,230128258.0,-0.54,2.04
2025-11-13,7.34,7.43,7.51,7.34,329359,248779096.0,1.09,2.16
2025-11-14,7.4,7.28,7.42,7.28,238285,177328618.0,-2.02,1.56
2025-11-17,7.29,7.25,7.33,7.23,240110,176847105.0,-0.41,1.58
2025-11-18,7.26,7.1,7.29,7.05,309037,223959114.0,-2.07,2.03
2025-11-19,7.14,7.11,7.25,7.05,209786,151938362.0,0.14,1.38
2025-11-20,7.14,7.13,7.34,7.1,280178,204931714.0,0.28,1.84
2025-11-21,7.08,6.7,7.08,6.7,419555,291166170.0,-6.03,2.75
2025-11-24,6.95,6.87,7.15,6.83,311549,219589656.0,2.54,2.05
2025-11-25,6.96,6.91,7.02,6.88,194645,137116567.0,0.58,1.28
2025-11-26,6.94,6.89,6.96,6.87,172213,120818000.0,-0.29,1.13
2025-11-27,6.95,6.94,7.05,6.92,224927,159446622.0,0.73,1.48
2025-11-28,6.95,7.01,7.03,6.88,161925,114762146.0,1.01,1.06
2025-12-01,7.15,7.11,7.33,7.09,360582,263599277.0,1.43,2.37
2025-12-02,7.07,6.96,7.09,6.95,224280,158690057.0,-2.11,1.47
2025-12-03,6.98,6.93,7.0,6.9,176728,124518724.0,-0.43,1.16
2025-12-04,6.95,6.93,6.96,6.85,178302,125054623.0,0.0,1.17
2025-12-05,6.93,7.1,7.16,6.89,348138,248266116.0,2.45,2.29
2025-12-08,7.11,7.01,7.14,7.01,256998,183730112.0,-1.27,1.69
2025-12-09,7.0,6.73,7.01,6.71,437006,302041786.0,-3.99,2.87
2025-12-10,6.71,6.7,6.75,6.63,217171,147160536.0,-0.45,1.43
2025-12-11,6.71,6.62,6.76,6.6,196630,133348992.0,-1.19,1.29
2025-12-12,6.64,6.7,6.75,6.64,211910,144267609.0,1.21,1.39
2025-12-15,6.67,6.7,6.74,6.64,184329,125263440.0,0.0,1.21
2025-12-16,6.7,6.59,6.71,6.55,161153,107909751.0,-1.64,1.06
2025-12-17,6.58,6.68,6.71,6.51,197862,132617005.0,1.37,1.3
2025-12-18,6.73,6.91,7.19,6.71,496894,353085513.0,3.44,3.26
2025-12-19,6.9,7.11,7.15,6.89,393202,281447688.0,2.89,2.58
2025-12-22,7.15,7.34,7.38,7.14,433995,320717943.0,3.23,2.85
2025-12-23,7.34,7.27,7.37,7.23,309005,228793524.0,-0.95,2.03
2025-12-24,7.28,7.37,7.45,7.28,270595,202419970.0,1.38,1.78
2025-12-25,7.34,7.5,7.52,7.24,397541,297801929.0,1.76,2.61
2025-12-26,7.52,7.46,7.61,7.42,326805,248630334.0,-0.53,2.15
